"wvl","rad"
890.00006,5.70933871792808
895.00018,4.62899452855834
900.00012,3.67232022883755
905.00018,3.98942386072461
909.99994,3.45089470178317
914.99994,3.3119183586056
920.00012,3.82916429756449
924.99994,3.62179902573297
929.99988,1.96962083968554
935.00012,0.760099502361605
939.99988,1.0999587082969
945.00012,1.07004710484454
950.00006,1.20987535391109
955,1.41936671753184
960.00006,1.75947910377935
965.00006,2.38130423770757
969.99982,3.34021380099601
975.00018,3.24924117663269
980.00018,3.61973248421457
985.00006,4.22042447795045
990,4.54066182202716
994.99982,4.64149266879771
1000.00006,4.58712817862176
1005.00012,4.49984676154481
1010.00018,4.51022155389112
1015.00018,4.52008942502701
1019.99994,4.47932925899896
1024.99976,4.42978349381513
1029.99988,4.40858852787902
1034.99988,4.38039201323404
1040.00024,4.34057815378214
1045.00024,4.2804650185124
1049.99988,4.23015983886422
1054.99988,4.1526290858239
1060.00012,4.02873693240743
1064.99988,3.94013469216692
1069.99951,3.85142373307544
1075,3.8399786062555
1079.99988,3.75079632211016
1085.00012,3.59187374171182
1090,3.44956047608966
1094.99988,3.10942445629341
1099.99988,2.69213122817515
1104.99988,2.32116094641413
1109.99976,1.89063216518606
1115,0.982838995879337
1119.99988,0.398750526125624
1125,0.260694449708948
1130,0.369536928284697
1135.00024,0.424891510701442
1140,0.72902574297438
1145,0.483079547653191
1149.99988,0.59979129536823
1155.00024,0.926867789714552
1160,1.48937259880903
1164.99988,1.94979720887906
1169.99988,2.24195822816461
1174.99963,2.30103352591334
1180,2.28880396348205
1184.99976,2.22882959428051
1190.00024,2.36946532348069
1194.99963,2.48031323489036
1199.99988,2.34153310166312
1204.99951,2.4006214917988
1210.00012,2.46896008395341
1215.00024,2.52913072738165
1219.99988,2.67307686117729
1224.99988,2.70051338187823
1229.99988,2.81034020269476
1235.00012,2.87992010545937
1240.00012,2.87986340525131
1245.00012,2.8513516656807
1249.99988,2.79013919475653
1255.00012,2.68135558822489
1260.00037,2.44965262295287
1265.00012,2.17164979123072
1270,2.10094258018069
1274.99976,2.39989956691893
1279.99951,2.46941716234943
1285,2.52045586151422
1290.00012,2.48020136257298
1294.99988,2.33974932860966
1300,2.19016632213969
1305.00012,1.97006198307531
1309.99988,1.74858435116904
1315,1.53955952838718
1320,1.3999763030947
1324.99988,1.24962456630809
1329.99988,0.772359762257441
1335,0.682596488718352
1339.99963,0.601354292211387
1345,0.265558347755718
1350,0.0376579116677245
1355,0.00847861047049319
1359.99976,0.00648588774426223
1365.00012,0.00593834689584198
1370,0.00590891013266345
1374.99988,0.00635381479594881
1380,0.00566526864417594
1385.00012,0.00530927945894613
1390.00012,0.00596126212921336
1395.00012,0.00610900132177252
1400.00037,0.00627443921500656
1404.99976,0.00713224472652502
1410,0.00861111963886295
1414.99988,0.0135729589090274
1420.00012,0.0174540051375875
1425.00012,0.0361260173095713
1430.00024,0.0622793575058004
1434.99976,0.0460939628411407
1440.00024,0.0484346887890071
1445.00012,0.0737769219155933
1450,0.120616887711856
1454.99976,0.219660080246286
1459.99963,0.284417844021143
1465.00012,0.225282830901293
1469.99988,0.126459617154579
1475,0.248687343525215
1480,0.263602642848985
1485,0.353320070734833
1490.00012,0.603419220061932
1495,0.85103542535127
1499.99976,1.10997370208276
1505,1.15037818163329
1509.99963,1.36003622361414
1515,1.41110178752692
1520,1.51958269452963
1525,1.60972280110476
1529.99988,1.65059772806521
1535,1.67853658030213
1539.99951,1.72101026142462
1545,1.70989170440976
1549.99976,1.76056337440002
1555,1.71748876277179
1559.99976,1.73995549319154
1564.99988,1.70949863423531
1570,1.5412164269637
1575.00012,1.52918032996535
1580.00037,1.55941016239032
1585.00012,1.619756330778
1590.00024,1.60817858018052
1594.99988,1.6296557452301
1600,1.51001838085592
1604.99963,1.47096576540682
1609.99976,1.42917321826673
1615.00012,1.53961172316277
1620.00012,1.58861185319062
1625.00012,1.58889607549664
1630.00012,1.56975628851678
1635.00012,1.53070181580248
1640.00012,1.4394786790036
1645.00024,1.45189647134581
1649.99976,1.45100871899024
1655,1.44898245847185
1659.99988,1.44885521095539
1665.00012,1.36978270982109
1669.99988,1.40096354359549
1674.99976,1.37970954630889
1679.99976,1.34074102077145
1685.00012,1.33940560110126
1690.00024,1.31178381687118
1694.99988,1.289878091276
1699.99976,1.26975902439074
1704.99988,1.23016328167212
1709.99988,1.1808717424482
1714.99963,1.17943242346975
1719.99951,1.14970451505147
1724.99988,1.04991420418798
1730,1.06993551027661
1734.99976,0.9626469767772
1739.99976,0.943608888741144
1744.99988,0.90949951414412
1750,0.933027535572491
1755.00012,0.869647460414217
1759.99988,0.858525007143516
1764.99988,0.70681727185361
1770,0.670672722341686
1774.99976,0.525113109257265
1780.00012,0.435503909079487
1785,0.332840361065409
1790.00037,0.312215066227896
1795.00012,0.128366673554769
1799.99988,0.0873942414532662
1805.00037,0.0284371228555216
1809.99951,0.0125623968032188
1815.00024,0.00416544442305022
1820,0.00202532802663572
1824.99976,0.00192687759655582
1829.99963,0.000874292203767249
1835,0.0012746332528461
1840.00012,0.000771692377644481
1845.00037,0.000586387929219869
1849.99988,0.000801613854427231
1855.00024,0.00133890201246579
1859.99951,0.00101709213537163
1864.99988,0.00097511420358222
1869.99939,0.000749778701290705
1874.99939,0.000852125865588271
1880.00012,0.00131378091357227
1885.00049,0.00131921969574351
1890.00024,0.000559522424187752
1895,0.0012038204953816
1900.00024,0.00086103392400073
1904.99988,0.00110712412781058
1909.99976,0.000712710459655181
1915.00037,0.000847590997809554
1919.99963,0.00094600580042375
1924.99963,0.000894208741481304
1930.00012,0.00145646378665497
1935.00049,0.00209624583551429
1939.99939,0.00663851318119624
1944.99976,0.0115463676779817
1950.00037,0.02186131291363
1954.99963,0.0168060726670864
1959.99976,0.0329573514136655
1965,0.0967448897055076
1969.99988,0.197000022228065
1975,0.267760310144718
1979.99915,0.329296063725221
1984.99988,0.406038512854268
1989.99963,0.401592375416027
1995.00061,0.352523930706416
1999.99951,0.122185460977343
