"wvl","ref_rad","signal","noise_rad","SNR"
1164.99988,1.95,144782.612259846,0.000842768456378502,671.002473953562
1169.99988,2.24,168173.691252418,0.000890337503658452,734.642638092123
1174.99963,2.3,174602.442407262,0.000900047611126404,751.293210759973
1180,2.29,175770.576108102,0.000898654345768565,754.283338406698
1184.99976,2.23,173052.460184075,0.000889243536720037,747.309098665081
1190.00024,2.37,184690.203735974,0.000909222749972739,776.773348468432
1194.99963,2.48,194072.217846109,0.000924018665517845,799.810683029679
1199.99988,2.34,183884.844757611,0.000900038439580237,774.76690920581
1204.99951,2.4,191925.705557717,0.000912163336083507,794.59350154548
1210.00012,2.47,202281.999623472,0.00092833939750699,819.485027957431
1215.00024,2.53,210752.165803971,0.000940453191879474,839.340019063024
1219.99988,2.67,223327.173115277,0.000959674665714118,868.044171386054
1224.99988,2.7,226761.411363442,0.000961938391945859,875.731758970498
1229.99988,2.81,239998.684153652,0.000981393828479658,904.794491744051
1235.00012,2.88,248539.05392296,0.000992144731876408,923.091128315427
1240.00012,2.88,249545.122869426,0.000989857401295393,925.224177544635
1245.00012,2.85,247941.812491851,0.000983161329300927,921.822678933499
1249.99988,2.79,248294.49678522,0.000979825609977881,922.571924059432
1255.00012,2.68,243894.491792986,0.000968480530433426,913.183310855203
1260.00037,2.45,226567.72108986,0.000934879632049331,875.299848180692
1265.00012,2.17,201475.071350505,0.000886505028378837,817.570447181123
1270,2.1,199263.270282404,0.000878984084247505,812.301397483496
1274.99976,2.4,232653.65972821,0.000934316174833676,888.777622786874
1279.99951,2.47,240377.194656812,0.000943692573686508,905.61272158946
1285,2.52,244777.344313943,0.00094733285756199,915.074351195799
1290.00012,2.48,243235.672763564,0.000941115183610509,911.769751528231
1294.99988,2.34,234390.67216359,0.000922797722024385,892.589614583199
1300,2.19,225219.110895522,0.000903830886646183,872.287074549412
1305.00012,1.97,204507.174499122,0.00086468113446074,824.743550771176
1309.99988,1.75,184383.745880421,0.000825375315130305,776.010404307866
1315,1.54,164661.414808544,0.000785495443839853,725.402043345488
1320,1.4,152700.94412006,0.000759464067440832,693.12034968792
1324.99988,1.25,134677.449853095,0.000720604155453031,641.822804517737
1329.99988,0.773,85872.6557267658,0.000610308468806257,481.297293898847
1335,0.682,75652.8438187208,0.00058308862370916,442.121470935415
1339.99963,0.601,67275.8206466212,0.000559729740479812,408.01818187511
1345,0.265,30736.7471837481,0.000454270126287831,228.674513221634
1350,0.0378,4457.33078818386,0.000360768993158842,41.2818182338711
1355,0.00845,1036.16051193312,0.000345752465936854,9.6780220812977
1359.99976,0.00613,779.977288784536,0.000343438583160291,7.21094765559334
1365.00012,0.00573,734.23556812695,0.000341994634024753,6.76887893765154
1370,0.00578,746.337999902564,0.000340795509119489,6.88588886063406
1374.99988,0.00665,875.709843808894,0.000340077744850775,8.1346058243649
1380,0.00601,805.316331203428,0.000338562939504902,7.45562997441855
1385.00012,0.00577,780.928678271928,0.000337243050506664,7.22013723983879
1390.00012,0.00686,940.835701524575,0.000336667155333479,8.76177043869377
1395.00012,0.00623,864.867641373532,0.000335158975038807,8.03010152948574
1400.00037,0.00647,907.676114257953,0.000334131236006772,8.4425624612445
1404.99976,0.00673,962.384594610045,0.000333157791382531,8.96907559412007
1410,0.00872,1255.58755017677,0.000333124758507872,11.7793706405262
1414.99988,0.0138,1979.15270430255,0.000334755016195564,18.6333259721969
1420.00012,0.0177,2569.09699246437,0.000335839856044934,24.1383031289632
1425.00012,0.0358,5285.44148142648,0.000344857179144055,48.5836055284826
1430.00024,0.0624,9332.60039428748,0.000358255045156623,82.5601938905541
1434.99976,0.0457,6898.2454768788,0.000348326290856348,62.4506279997429
1440.00024,0.0477,7283.70341680195,0.000348500737520438,65.6986222746725
1445.00012,0.0741,11520.0604099548,0.000362107368144681,99.8621233687567
1450,0.121,19082.2583745755,0.00038580752799928,154.932176440351
1454.99976,0.22,35203.6127650072,0.000432742969313961,254.19231377551
1459.99963,0.284,46317.7700786291,0.000461508911937512,312.608983575889
1465.00012,0.225,37119.0220704947,0.000435133067464368,264.746599635142
1469.99988,0.126,20875.1167075133,0.0003861629851326,167.058994475734
1475,0.249,41676.9780122769,0.00044455898259975,289.014517823112
1480,0.264,45193.3023474864,0.000452342742417545,306.98845582852
1485,0.353,61080.0893614167,0.00049045923935149,381.458814492678
1490.00012,0.603,104660.717923682,0.000583615100665273,547.604161584739
1495,0.851,149302.304278031,0.000664665237742096,683.703576169768
1499.99976,1.11,199770.544057075,0.000744990743837563,813.51260489237
1505,1.15,211472.581974621,0.000760320517449814,840.961128005078
1509.99963,1.36,252715.017663184,0.000817280326042805,931.870709683659
1515,1.41,262871.69357033,0.000828531166907239,953.011825671493
1520,1.52,286340.835466709,0.000857068128113445,1000.24720541997
1525,1.61,306447.362399894,0.000880076405379385,1039.09159978648
1529.99988,1.65,319526.215037344,0.000893542031036358,1063.63176010612
1535,1.68,329797.424682151,0.000903217257398105,1082.53024617425
1539.99951,1.72,343403.221055056,0.000916638489650745,1107.08710465197
1545,1.71,348320.324569971,0.000919491623808178,1115.83398198964
1549.99976,1.76,360862.238566438,0.000931158769123815,1137.85088662911
1555,1.72,354974.809780961,0.000921346314325626,1127.56732603896
1559.99976,1.74,361448.936909984,0.000925864345949138,1138.87076176268
1564.99988,1.71,358708.179324328,0.000919760965066448,1134.09883160745
1570,1.54,329396.332904402,0.000882604537317314,1081.79820024733
1575.00012,1.53,333594.236069937,0.000884769567194982,1089.43653748839
1580.00037,1.56,345546.230463766,0.000895916684284109,1110.90738594213
1585.00012,1.62,362226.197608087,0.000912139397893091,1140.22054102952
1590.00024,1.61,362250.902571759,0.000909298797266108,1140.26341800666
1594.99988,1.63,369045.636820875,0.000914046990813072,1151.99758036875
1600,1.51,345075.295233118,0.000884179313061327,1110.06894812062
1604.99963,1.47,340095.086017387,0.000875726673258821,1101.1647546734
1609.99976,1.43,335919.36653189,0.000868215258287132,1093.64520125259
1615.00012,1.54,367250.398156092,0.000900750737696526,1148.90854755943
1620.00012,1.59,383741.600044095,0.000915912878997347,1176.98975638394
1625.00012,1.59,386061.120812869,0.000915582501225101,1180.8875754542
1630.00012,1.57,382378.521543197,0.000908833131396954,1174.69333940215
1635.00012,1.53,377078.224105686,0.00090036910680205,1165.72216037923
1640.00012,1.44,359098.517704794,0.000878126685136845,1134.77963185313
1645.00024,1.45,366886.622727018,0.000883929859178725,1148.28162784664
1649.99976,1.45,371155.063290777,0.0008858467416371,1155.61703202536
1655,1.45,375443.233283113,0.000887749026016959,1162.94129280214
1659.99988,1.45,378692.578562595,0.000888518562045484,1168.4616452018
1665.00012,1.37,360884.396497124,0.000866868180504773,1137.88942044871
1669.99988,1.4,371947.665254066,0.000876078202838,1156.97418599904
1674.99976,1.38,369763.732203349,0.000871152245124586,1153.23095436243
1679.99976,1.34,363086.617586198,0.000861477156279067,1141.71293679828
1685.00012,1.34,366151.601940821,0.00086216920312795,1147.0139048486
1690.00024,1.31,359990.224564031,0.000853094804919155,1136.33340652199
1694.99988,1.29,356504.275415695,0.000846876390044696,1130.24751821158
1699.99976,1.27,353910.334281154,0.000841628457702122,1125.69833813215
1704.99988,1.23,345616.247989193,0.00083030901855623,1111.03199086537
1709.99988,1.18,335201.003238727,0.000816663733908076,1092.34657183934
1714.99963,1.18,337070.150498535,0.000816301441972245,1095.72246154431
1719.99951,1.15,330328.57777446,0.000806645712055631,1083.49894078371
1724.99988,1.05,303281.496190417,0.000774489347901698,1033.06772619622
1730,1.07,311579.781650163,0.000781493193334032,1048.78712571163
1734.99976,0.963,284173.817074428,0.000748374045348157,995.974719915953
1739.99976,0.944,282257.747552853,0.000744024074156211,992.182461758636
1744.99988,0.909,273969.582289933,0.000732329713700718,975.617811716956
1750,0.931,282118.869945074,0.000739613646980816,991.907062551847
1755.00012,0.87,264390.766155699,0.000717011208037554,956.135914411108
1759.99988,0.858,264141.43117079,0.000714682740477352,955.623798621234
1764.99988,0.708,219689.253763766,0.000658769852135025,859.784232985676
1770,0.671,210366.376300249,0.000645071298696415,838.397245533823
1774.99976,0.525,166298.154927325,0.000584237708385856,729.668493972753
1780.00012,0.435,138186.902095142,0.000541725675266846,652.027391808611
1785,0.333,105832.497427702,0.000489114356060928,551.4661278239
1790.00037,0.312,99684.7127585077,0.000477452246682384,530.616512826951
1795.00012,0.129,41463.1013035619,0.000364835243849148,287.817622212557
1799.99988,0.0871,28228.1737000996,0.000333481656529575,213.648307915495
1805.00037,0.0284,9287.3296242523,0.000283698509173474,82.0871574935206
1809.99951,0.0131,4334.22754741289,0.000268720047446641,40.0721774751034
1815.00024,0.00433,1471.40107855201,0.000259445828133923,13.7187019949411
1820,0.00197,699.611615946951,0.000256390443656046,6.31591402904385
1824.99976,0.00196,694.95114348056,0.000255673865429963,6.27080274170294
1829.99963,0.00127,472.845841893828,0.000254300843712692,4.11512372842265
1835,0.00106,407.652218043941,0.000253410098704105,3.48020858091286
1840.00012,0.000952,376.914570049445,0.000252628419939682,3.18051400816995
1845.00037,0.00106,419.042634857569,0.000252070930220254,3.59121016235003
1849.99988,0.000973,388.256603780065,0.000251297046169504,3.29112540722083
1855.00024,0.000977,396.12512962916,0.000250643273688143,3.36784434155727
1859.99951,0.00101,404.576936122034,0.000249994907094302,3.4502342460706
1864.99988,0.00107,431.780651053897,0.000249405850839966,3.7153085571941
1869.99939,0.000779,326.062700382489,0.000248424113395104,2.68421990629973
1874.99939,0.000743,317.160709927568,0.000247735181693822,2.59727782360452
1880.00012,0.00104,422.385483719804,0.000247388054841382,3.62378106871327
1885.00049,0.00112,454.71267711515,0.000246827275318909,3.93862557638307
1890.00024,0.00108,442.260359992007,0.000246137652557619,3.81737739543951
1895,0.00106,438.695965859688,0.000245477773220517,3.78266426250274
1900.00024,0.000851,363.289974443658,0.000244610713360257,3.04760259617117
1904.99988,0.000824,356.278707850828,0.000243948228624185,2.97918900843353
1909.99976,0.000914,388.853603279279,0.000243404653978769,3.29694671967118
1915.00037,0.000928,394.125907062782,0.000242784390476837,3.34835308422992
1919.99963,0.00108,450.275504299284,0.000242315066363964,3.89542496883873
1924.99963,0.00125,515.208581114317,0.000241873356862291,4.52716177261074
1930.00012,0.00133,549.511408005813,0.000241345512830944,4.86050108792243
1935.00049,0.00244,971.157864533319,0.000241930249320507,8.93580064630946
1939.99939,0.00691,2667.45483340269,0.000246096178706031,24.9336594587668
1944.99976,0.0119,4588.06198813789,0.00025076237018118,42.3301060184215
1950.00037,0.0217,8363.42280749211,0.000260195917760035,74.5584457227781
1954.99963,0.0165,6402.14340366548,0.0002543587708556,58.1226175463512
1959.99976,0.0337,13083.8780237077,0.000270881825397499,111.718815835621
1965,0.0966,37418.9927168609,0.000325031760792465,266.292745634988
1969.99988,0.197,76620.123872528,0.000396768842002456,445.866640261296
1975,0.268,104014.898783239,0.000439322129531556,545.367473874977
1979.99915,0.329,128001.098863044,0.00047298899355328,621.845336802468
1984.99988,0.405,158308.725477351,0.000512279746245848,708.36292712976
1989.99963,0.402,157883.61348899,0.000510448363455363,707.213434989429
1995.00061,0.352,139525.992614968,0.000485143355032579,655.905629466225
1999.99951,0.122,48835.2515812489,0.000341704941815288,324.899978543515
2005.00024,0.0539,21706.1018860304,0.000285006369605637,172.476145245519
2010.00024,0.108,43548.6429031475,0.000329887988018146,298.574009486463
2015.00012,0.086,34622.1473865313,0.00031128776760195,250.854674905995
2019.99988,0.172,69058.2277708543,0.000374339925760617,415.365836802114
2024.99988,0.348,139395.22849566,0.000477783412974491,655.52722196474
2029.99976,0.463,185487.207841263,0.00053393167230887,778.702717990256
2035,0.567,227699.305139617,0.000580065719489635,877.772953809414
