"wvl","rad"
1394,0.00580284912881424
1400.00012,0.0045966958863742
1406.00024,0.00544637186728839
1412,0.0067757331864525
1418.00024,0.0110101865968587
1423.99988,0.0204888958742664
1430,0.0318287979023294
1436.00012,0.0288508320568787
1442,0.0357525395473001
1447.99976,0.0671091863323443
1454.00024,0.124638561586149
1459.99976,0.16745412711534
1466.00024,0.129810575922851
1472.00012,0.122144375432231
1478,0.172315557431819
1484.00012,0.244878020933323
1490,0.427140244101114
1495.99951,0.665879052812421
1501.99976,0.833404792081162
1508,0.968096403808411
1514,1.07968492584624
1520.00012,1.16997686225665
1525.99976,1.25069003397736
1531.99976,1.290092969259
1538.00012,1.31866218114806
1543.99976,1.33990973311763
1550,1.35978636183647
1555.99951,1.3594140795541
1562.00037,1.34942704416376
1568.00012,1.26021213238831
1573.99988,1.18934898838852
1579.99988,1.21999851303129
1586.00012,1.26062983194129
1591.99988,1.2701558875762
1597.99988,1.21928920063429
1603.99988,1.15039873665078
1610.00012,1.13988395295886
1616.00024,1.20048583566148
1622.00024,1.23902398538909
1627.99963,1.22998374172509
1634,1.19941202576087
1640.00012,1.13928866964364
1646.00024,1.13001728956878
1651.99951,1.13025705596644
1658.00012,1.12969844689192
1663.99988,1.09048758881841
1669.99976,1.08114955446648
1675.99951,1.06951415349034
1682,1.04953564613692
1688,1.02942039958936
1694.00024,1.01110628261382
1700,0.982573140682443
1706,0.943727851065382
1712.00012,0.919339477070438
1718,0.898798501849386
1723.99988,0.83773123978248
1730,0.806391534578545
1735.99988,0.745271607720678
1741.99988,0.714261269631274
1748.00024,0.698684339768552
1754.00012,0.678383376112658
1759.99963,0.624146760374004
1766,0.534827033483524
1771.99988,0.450384287979896
1778.00024,0.340300596997837
1783.99963,0.264116929976638
1790.00024,0.19102409087154
1796,0.0927746580492561
1802.00037,0.0397930201990921
1807.99988,0.0124181194502942
1814.00012,0.00409714581925186
1820,0.0018237540256113
1826.00012,0.00135818301654127
1831.99963,0.00121679599863014
1837.99988,0.000844906134953301
1844.00012,0.000866360580571007
1850.00024,0.000981690094076273
1856.00012,0.000624855892108422
1862,0.000434457861411393
1867.99976,0.000523202449677357
1873.99976,0.000689376977890656
1879.99976,0.000895236303677252
1886.00012,0.000823748988055939
1891.99988,0.000751657257993921
1898.00012,0.00113892287329233
1904.00012,0.00078944524750856
1910,0.00100174084946337
1916,0.000975180009177607
1922.00024,0.00103337704342752
1927.99988,0.00122805798321615
1933.99963,0.00173302600926364
1939.99976,0.003553066457277
1945.99963,0.00777293031354389
1952,0.0118840433840024
1958.00024,0.0183828614755788
1963.99988,0.059323008743772
1969.99988,0.131333986547997
1975.99988,0.200651794267568
1982.00012,0.260331809518162
1987.99988,0.29027315979332
1993.99988,0.246806857207631
1999.99976,0.109392318905507
2006,0.0525140188339728
2011.99988,0.0619543933522678
2017.99976,0.100983755015093
2024,0.220623588662736
2030.00024,0.343409126028327
2036.00012,0.411094230847292
2042.00073,0.393481166675406
2048.00024,0.325978447958436
2054.00049,0.240303558976417
2059.99976,0.246225715296302
2065.99951,0.253943015228748
2072.00024,0.295379574353526
2078.00049,0.367227827407239
2083.99976,0.407780967294023
2090.00024,0.427985715401089
2096.00024,0.435114879373909
2101.99976,0.443540742915694
2108.00024,0.458570416566331
2114.00049,0.449799207605542
2120,0.441044764322899
2126.00024,0.447232366497313
2131.99976,0.461798685500612
2138.00024,0.465395536191951
2144.00024,0.455866926717202
2150.00024,0.42087822756911
2156,0.405470993262996
2161.99976,0.395099401407725
2168.00024,0.39176398575867
2173.99976,0.395903388418708
2180,0.385301843344856
2185.99976,0.372464187604665
2192.00049,0.378050384422872
2197.99951,0.351329216394635
2203.99951,0.352793154014504
2210.00049,0.381180427902542
2215.99976,0.384827515866964
2222.00024,0.382218739952571
2228.00024,0.379600837479012
2234,0.374469117709038
2240.00049,0.364911451938442
2246.00024,0.35516271476261
2252.00024,0.347374167895395
2258,0.334882083431993
2264.00024,0.326083808282174
2270.00073,0.321004460304235
2276,0.320141726577557
2282.00098,0.315074546431034
2287.99951,0.301333109577713
2294,0.278352005555974
2300.00073,0.275457029814334
2306,0.289841406782008
2311.99951,0.291959151210181
2318.00024,0.247017676715985
2324.00073,0.248085921313528
2330.00049,0.265332493688251
2336.00024,0.241228688465571
2342.00024,0.203766684059221
2348.00049,0.180913457799077
2354.00049,0.178180046802976
2359.99976,0.20423679569918
2366,0.18091247662315
2372,0.141709301336123
2377.99951,0.133423116323699
2384,0.11778323483129
2389.99976,0.124306398868989
2396,0.137067401007451
2402,0.129165926884576
2408,0.0979663537865013
2414.00024,0.0714642964497373
2420.00024,0.0722175072025101
2426,0.0980484789189711
2431.99976,0.0879355026778179
2437.99951,0.0779242342769347
2444.00024,0.0617585692050001
2450.00073,0.0306027013061771
2455.99976,0.0483994978574398
2462.00049,0.0478452659113837
2467.99976,0.0287336390062894
2474,0.0155712956557789
2479.99951,0.00791852507763975
2486,0.00219186078906707
2492.00049,0.00105702040470785
2498,0.00175202792002857
